Section A	Agriculture, Hunting and Forestry
01	Agriculture, Hunting and Related Service Activities
01.1	Growing of crops; market gardening; horticulture
01.11	Growing of cereals and other crops not elsewhere classified
01.12	Growing of vegetables, horticultural specialities and nursery products
01.13	Growing of fruit, nuts, beverage and spice crops
01.13/1	Growing of wine grapes and table grapes and production of wine from self-produced grapes
01.13/9	Growing of other fruit, nuts and spice crops; growing of other beverage crops
01.2	Farming of animals
01.21	Farming of cattle, dairy farming
01.22	Farming of sheep, goats, horses, asses, mules and hinnies
01.23	Farming of swine
01.24	Farming of poultry
01.25	Other farming of animals
01.3	Growing of crops combined with farming of animals (mixed farming)
01.30	Growing of crops combined with farming of animals (mixed farming)
01.4	Agricultural and animal husbandry service activities, except veterinary activities; landscape gardening
01.41	Agricultural service activities; landscape gardening
01.42	Animal husbandry service activities, except veterinary activities
01.42/1	Farm animal boarding and care
01.42/9	Animal husbandry service activities, except veterinary activities, not elsewhere classified
01.5	Hunting, trapping and game propagation including related service activities
01.50	Hunting, trapping and game propagation including related service activities
02	Forestry, Logging and Related Service Activities
02.0	Forestry, logging and related service activities
02.01	Forestry and logging
02.02	Forestry and logging related service activities
Section B	Fishing
05	Fishing, Fish Farming and Related Service Activities
05.0	Fishing, fish farming and related service activities
05.01	Fishing
05.02	Fish farming
Section C	Mining and Quarrying
Subsection CA	Mining and Quarrying of Energy Producing Materials
10	Mining of Coal and Lignite; Extraction of Peat
10.1	Mining and agglomeration of hard coal
10.10	Mining and agglomeration of hard coal
10.10/1	Deep coal mines
10.10/2	Open cast coal working
10.10/3	Manufacture of solid fuel
10.2	Mining and agglomeration of lignite
10.20	Mining and agglomeration of lignite
10.3	Extraction and agglomeration of peat
10.30	Extraction and agglomeration of peat
11	Extraction of Crude Petroleum and Natural Gas; Service Activities Incidental to Oil and Gas Extraction Excluding Surveying
11.1	Extraction of crude petroleum and natural gas
11.10	Extraction of crude petroleum and natural gas
11.2	Service activities incidental to oil and gas extraction excluding surveying
11.20	Service activities incidental to oil and gas extraction excluding surveying
12	Mining of Uranium and Thorium Ores
12.0	Mining of uranium and thorium ores
12.00	Mining of uranium and thorium ores
Subsection CB	Mining and Quarrying Except Energy Producing Materials
13	Mining of Metal Ores
13.1	Mining of iron ores
13.10	Mining of iron ores
13.2	Mining of non-ferrous metal ores, except uranium and thorium ores
13.20	Mining of non-ferrous metal ores, except uranium and thorium ores
14	Other Mining and Quarrying
14.1	Quarrying of stone
14.11	Quarrying of ornamental and building stone
14.12	Quarrying of limestone, gypsum and chalk
14.13	Quarrying of slate
14.2	Quarrying of sand and clay
14.21	Operation of gravel and sand pits
14.22	Mining of clays and kaolin
14.3	Mining of chemicals and fertiliser minerals
14.30	Mining of chemicals and fertiliser minerals
14.4	Production of salt
14.40	Production of salt
14.5	Other mining and quarrying not elsewhere classified
14.50	Other mining and quarrying not elsewhere classified
Section D	Manufacturing
Subsection DA	Manufacture of Food Products, Beverages and Tobacco
15	Manufacture of Food Products and Beverages
15.1	Production, processing and preserving of meat and meat products
15.11	Production and preserving of meat
15.11/1	Slaughtering of animals other than poultry and rabbits
15.11/2	Animal by-product processing
15.11/3	Fellmongery
15.12	Production and preserving of poultry meat
15.13	Production of meat and poultry meat products
15.13/1	Bacon and ham production
15.13/2	This code is no longer in use
15.13/9	Other meat and poultry meat processing
15.2	Processing and preserving of fish and fish products
15.20	Processing and preserving of fish and fish products
15.20/1	Freezing of fish
15.20/2	This code is no longer in use
15.20/9	Other fish processing and preserving
15.3	Processing and preserving of fruit and vegetables
15.31	Processing and preserving of potatoes
15.32	Manufacture of fruit and vegetable juice
15.33	Processing and preserving of fruit and vegetables not elsewhere classified
15.4	Manufacture of vegetable and animal oils and fats
15.41	Manufacture of crude oils and fats
15.42	Manufacture of refined oils and fats
15.43	Manufacture of margarine and similar edible fats
15.5	Manufacture of dairy products
15.51	Operation of dairies and cheese making
15.51/1	Liquid milk and cream production
15.51/2	Butter and cheese production
15.51/3	This code is no longer in use
15.51/9	Manufacture of other milk products
15.52	Manufacture of ice cream
15.6	Manufacture of grain mill products, starches and starch products
15.61	Manufacture of grain mill products
15.61/1	Grain milling
15.61/2	Manufacture of breakfast cereals and cereals-based foods
15.62	Manufacture of starches and starch products
15.7	Manufacture of prepared animal feeds
15.71	Manufacture of prepared feeds for farm animals
15.72	Manufacture of prepared pet foods
15.8	Manufacture of other food products
15.81	Manufacture of bread; manufacture of fresh pastry goods and cakes
15.82	Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes
15.83	Manufacture of sugar
15.84	Manufacture of cocoa, chocolate and sugar confectionery
15.84/1	Manufacture of cocoa and chocolate confectionery
15.84/2	Manufacture of sugar confectionery
15.85	Manufacture of macaroni, noodles, couscous and similar farinaceous products
15.86	Processing of tea and coffee
15.86/1	Tea processing
15.86/2	Production of coffee and coffee substitutes
15.87	Manufacture of condiments and seasonings
15.88	Manufacture of homogenised food preparations and dietetic food
15.89	Manufacture of other food products not elsewhere classified
15.89/1	Manufacture of soups
15.89/2	This code is no longer in use
15.89/9	Manufacture of other food products not elsewhere classified
15.9	Manufacture of beverages
15.91	Manufacture of distilled potable alcoholic beverages
15.92	Production of ethyl alcohol from fermented materials
15.93	Manufacture of wines
15.93/1	Manufacture of wine of fresh grapes and grape juice
15.93/2	Manufacture of wine based on concentrated grape must
15.94	Manufacture of cider and other fruit wines
15.94/1	Manufacture of cider and perry
15.94/2	This code is no longer in use
15.94/9	Manufacture of other fermented fruit beverages
15.95	Manufacture of other non-distilled fermented beverages
15.96	Manufacture of beer
15.97	Manufacture of malt
15.98	Manufacture of mineral waters and soft drinks
16	Manufacture of Tobacco Products
16.0	Manufacture of tobacco products
16.00	Manufacture of tobacco products
Subsection DB	Manufacture of Textiles and Textile Products
17	Manufacture of Textiles
17.1	Preparation and spinning of textile fibres
17.11	Preparation and spinning of cotton-type fibres
17.12	Preparation and spinning of woollen-type fibres
17.13	Preparation and spinning of worsted-type fibres
17.14	Preparation and spinning of flax-type fibres
17.15	Throwing and preparation of silk including from noils and throwing and texturing of synthetic or artificial filament yarns
17.16	Manufacture of sewing threads
17.17	Preparation and spinning of other textile fibres
17.2	Textile weaving
17.21	Cotton-type weaving
17.22	Woollen-type weaving
17.23	Worsted-type weaving
17.24	Silk-type weaving
17.25	Other textile weaving
17.3	Finishing of textiles
17.30	Finishing of textiles
17.4	Manufacture of made-up textile articles, except apparel
17.40	Manufacture of made-up textile articles, except apparel
17.40/1	Manufacture of soft furnishings
17.40/2	Manufacture of canvas goods, sacks, etc.
17.40/3	Manufacture of household textiles
